# Experimental dG, SQM2.20 acore and its components (in kcal/mol)
Target	Ligand	dG_experiment	Score	dG_int	dG_conf(L)	dG_H+	-TS
001-CA2	5NXG	-11.70	-46.41	-59.54	11.49	0.00	1.64
001-CA2	5NXI	-9.10	-37.18	-51.16	12.32	0.00	1.67
001-CA2	5NXO	-11.30	-47.03	-59.67	10.98	0.00	1.67
001-CA2	5NXP	-10.90	-44.06	-57.76	11.56	0.00	2.14
001-CA2	5NXV	-11.50	-41.73	-54.72	10.91	0.00	2.09
001-CA2	5NXW	-9.90	-40.39	-55.12	12.93	0.00	1.80
001-CA2	5NY1	-8.80	-32.47	-50.92	15.52	0.00	2.93
001-CA2	5NY3	-10.20	-43.08	-56.06	10.98	0.00	2.00
001-CA2	5NY6	-10.70	-41.53	-61.93	18.13	0.00	2.28
001-CA2	5NYA	-8.70	-40.08	-50.94	9.84	0.00	1.01
002-HIV-PR	1HSG	-13.62	-43.06	-58.00	11.94	0.00	3.00
002-HIV-PR	1HXW	-14.86	-55.63	-67.81	8.39	0.00	3.80
002-HIV-PR	1IZH	-14.66	-48.23	-61.92	10.55	0.00	3.14
002-HIV-PR	1T3R	-15.48	-53.22	-64.07	7.75	0.00	3.11
002-HIV-PR	2Q54	-12.37	-41.19	-56.27	11.79	0.00	3.29
002-HIV-PR	2Q55	-11.93	-43.02	-59.39	13.57	0.00	2.81
002-HIV-PR	2Q5K	-14.75	-49.69	-63.28	10.28	0.00	3.32
002-HIV-PR	3EKX	-13.94	-35.27	-56.00	17.44	0.00	3.29
002-HIV-PR	3EL1	-14.58	-59.70	-74.48	10.70	0.00	4.08
002-HIV-PR	3NU3	-13.38	-48.18	-57.09	5.80	0.00	3.11
002-HIV-PR	3OXC	-14.27	-49.44	-71.50	19.08	0.00	2.97
002-HIV-PR	5HVP	-9.52	-22.51	-52.18	11.73	13.80	4.15
002-HIV-PR	model13a	-12.45	-39.61	-55.30	12.65	0.00	3.04
002-HIV-PR	model13c	-11.90	-40.94	-54.77	10.79	0.00	3.04
002-HIV-PR	model13d	-11.78	-40.04	-54.44	11.33	0.00	3.08
002-HIV-PR	model16a	-11.11	-33.56	-48.64	12.25	0.00	2.83
002-HIV-PR	model16e	-10.23	-35.74	-50.00	11.12	0.00	3.14
002-HIV-PR	model16f	-10.16	-31.93	-48.96	13.89	0.00	3.14
002-HIV-PR	model22a	-11.17	-32.96	-45.99	10.20	0.00	2.83
002-HIV-PR	model22d	-10.52	-36.74	-49.37	9.76	0.00	2.87
002-HIV-PR	model23a	-8.49	-26.23	-41.40	13.41	0.00	1.75
002-HIV-PR	model25d	-10.14	-39.63	-48.50	6.94	0.00	1.93
003-CK2	1F0Q	-7.85	-8.10	-10.52	1.26	0.00	1.16
003-CK2	1J91	-8.78	-26.61	-27.98	0.85	0.00	0.52
003-CK2	1M2P	-8.38	-16.59	-18.99	1.40	0.00	1.01
003-CK2	1M2Q	-8.37	-12.44	-15.57	2.13	0.00	1.01
003-CK2	1M2R	-8.86	-30.20	-33.16	2.45	0.00	0.51
003-CK2	1ZOE	-10.09	-29.96	-32.14	0.14	0.00	2.04
003-CK2	1ZOG	-9.82	-35.55	-37.86	0.64	0.00	1.66
003-CK2	1ZOH	-9.61	-37.62	-38.14	-0.63	0.00	1.16
003-CK2	2OXD	-9.37	-30.40	-31.88	0.96	0.00	0.52
003-CK2	2OXX	-9.20	-26.67	-28.52	1.33	0.00	0.52
003-CK2	2OXY	-8.95	-30.65	-31.77	0.61	0.00	0.52
003-CK2	3KXG	-10.05	-37.73	-38.67	0.42	0.00	0.52
003-CK2	3KXH	-9.06	-28.44	-32.85	1.88	0.00	2.53
003-CK2	3KXM	-9.00	-23.54	-31.21	5.08	0.00	2.59
003-CK2	3KXN	-10.49	-39.11	-40.14	0.51	0.00	0.52
003-CK2	3PVG	-8.06	-16.28	-38.92	5.38	15.96	1.30
004-AR	1US0	-9.56	-29.26	-37.43	6.28	0.00	1.90
004-AR	2IKG	-8.46	-25.43	-31.53	4.55	0.00	1.55
004-AR	2IKH	-7.48	-20.34	-26.28	4.15	0.00	1.80
004-AR	2IKI	-10.21	-35.64	-41.83	4.36	0.00	1.84
004-AR	2IKJ	-10.09	-35.06	-40.95	3.97	0.00	1.92
004-AR	4LAU	-9.95	-31.41	-38.08	4.84	0.00	1.84
004-AR	4LAZ	-9.36	-31.56	-38.70	5.30	0.00	1.84
004-AR	4LB3	-10.73	-36.26	-43.03	4.94	0.00	1.84
004-AR	4LB4	-10.46	-36.76	-43.49	4.89	0.00	1.84
004-AR	4LBR	-9.56	-36.38	-43.38	5.16	0.00	1.84
004-AR	4LBS	-9.64	-35.35	-41.88	4.69	0.00	1.84
004-AR	4QXI	-9.59	-30.45	-36.53	4.55	0.00	1.53
004-AR	4XZH	-9.66	-29.61	-34.69	3.28	0.00	1.80
004-AR	4XZI	-6.88	-26.26	-33.55	4.84	0.00	2.45
005-Cath-D	6QBG	-13.07	-55.16	-63.49	6.14	0.00	2.19
005-Cath-D	6QBH	-12.22	-53.95	-62.86	6.67	0.00	2.23
005-Cath-D	6QCB	-11.72	-55.33	-62.80	5.28	0.00	2.19
005-Cath-D	model08	-10.25	-53.08	-59.72	5.04	0.00	1.60
005-Cath-D	model22	-9.65	-46.57	-57.88	9.12	0.00	2.19
005-Cath-D	model24	-8.95	-52.83	-59.25	4.23	0.00	2.19
005-Cath-D	model25	-12.71	-57.81	-64.61	5.48	0.00	1.32
005-Cath-D	model31	-9.07	-48.50	-58.92	8.77	0.00	1.66
005-Cath-D	model35	-8.75	-47.39	-58.65	9.02	0.00	2.23
005-Cath-D	model36	-8.24	-39.31	-45.68	4.19	0.00	2.19
006-BACE1-D3R	5QCO	-11.46	-40.36	-53.44	10.26	0.00	2.82
006-BACE1-D3R	5QCP	-10.67	-42.87	-52.08	6.23	0.00	2.98
006-BACE1-D3R	5QCR	-8.81	-36.37	-52.77	13.03	0.00	3.38
006-BACE1-D3R	5QCT	-11.12	-39.73	-53.37	10.36	0.00	3.28
006-BACE1-D3R	5QCU	-9.45	-35.02	-47.01	9.03	0.00	2.96
006-BACE1-D3R	5QCV	-10.70	-36.91	-48.17	8.42	0.00	2.85
006-BACE1-D3R	5QCX	-10.95	-38.86	-52.24	10.43	0.00	2.95
006-BACE1-D3R	5QCY	-12.35	-46.88	-64.69	14.70	0.00	3.11
006-BACE1-D3R	5QCZ	-7.39	-32.61	-46.84	11.71	0.00	2.53
006-BACE1-D3R	5QD0	-9.20	-29.52	-46.40	13.99	0.00	2.89
006-BACE1-D3R	5QD1	-8.99	-36.49	-48.65	9.07	0.00	3.09
006-BACE1-D3R	5QD2	-10.22	-37.74	-46.03	5.40	0.00	2.90
006-BACE1-D3R	5QD3	-10.07	-38.80	-51.36	9.47	0.00	3.09
006-BACE1-D3R	5QD5	-10.72	-37.53	-48.76	8.53	0.00	2.70
006-BACE1-D3R	5QD9	-11.57	-42.11	-55.39	10.13	0.00	3.14
006-BACE1-D3R	5QDA	-11.54	-38.66	-48.28	6.79	0.00	2.82
007-JAK1	4E4L	-12.04	-22.11	-28.97	4.56	0.00	2.30
007-JAK1	4E4N	-12.42	-23.72	-30.90	4.10	0.00	3.07
007-JAK1	4E5W	-10.52	-12.87	-20.28	4.87	0.00	2.54
007-JAK1	4EHZ	-10.98	-20.87	-24.19	1.69	0.00	1.63
007-JAK1	4EI4	-12.00	-29.17	-33.10	2.30	0.00	1.63
007-JAK1	4FK6	-13.32	-28.06	-32.75	2.41	0.00	2.28
007-JAK1	4I5C	-12.11	-26.53	-29.64	1.74	0.00	1.38
007-JAK1	4IVB	-11.97	-40.95	-42.73	0.01	0.00	1.77
007-JAK1	4IVC	-13.73	-39.76	-45.60	3.86	0.00	1.98
007-JAK1	4IVD	-13.07	-44.32	-50.58	4.13	0.00	2.14
007-JAK1	4K6Z	-11.94	-20.58	-26.10	4.03	0.00	1.49
007-JAK1	4K77	-9.10	-13.10	-16.39	2.01	0.00	1.28
008-Trypsin	1K1I	-8.98	-28.34	-56.13	11.08	15.08	1.64
008-Trypsin	1K1J	-10.31	-35.66	-48.00	10.05	0.00	2.29
008-Trypsin	1K1L	-9.43	-32.80	-46.96	9.55	3.06	1.56
008-Trypsin	1K1M	-10.10	-32.11	-45.51	11.18	0.00	2.22
008-Trypsin	1K1N	-9.31	-31.46	-46.91	12.23	0.00	3.23
008-Trypsin	2ZHD	-8.93	-30.64	-45.46	13.12	0.00	1.70
008-Trypsin	2ZQ2	-8.96	-42.25	-52.40	8.46	0.00	1.69
008-Trypsin	3LJJ	-8.91	-38.29	-46.85	6.85	0.00	1.72
008-Trypsin	3LJO	-9.04	-33.44	-42.97	7.82	0.00	1.71
008-Trypsin	5MNG	-6.40	-22.32	-27.95	4.62	0.00	1.01
