Target,Ligand,dG_experiment,Score,dG_int,dG_conf(L),dG_H+,-TS,E_crest_xtb_Eh,E_020_xtb_Eh,Delta_xtb_kcal,E_crest_pm6_kcal,E_020_pm6_kcal,Delta_pm6_kcal,S_conf_crest,Minus_TS_kcal,GFN2_S_conf,Minus_TS_gfn2_kcal,Delta_gfn2_xtb_kcal,GFN2_crest_xtb_energy,Charge,No_solvent_gfn2_ts,High_temp_ts,001_protonated_sconf,001_protonated_ts,001_protonated_no_solvent,Delta_gfn2_xtb_protonated,Delta_pm6_on_gfn2,Partially_opt_energy,TS_nrb
001-CA2,5NXG,-11.7,-46.41,-59.54,11.49,0.0,1.64,-7.792157981974,-7.792196116448,0.0239297256452144,-184.36372709521288,-184.57791228844832,0.214185193235437,3.933848,1.1728767811999998,3.4059756,2.53872906285,-1.1688108480887018,-43649.51419825883,-1.0,1.9340471719,2.603720098,7.947486,1.782495738,5.97852,-0.5434339661704289,1.104283288448329,1.7331349543998726,5
001-CA2,5NXO,-11.3,-47.03,-59.67,10.98,0.0,1.67,-7.446422806876,-7.446330877223,-0.0576866846245025,-140.99147962365566,-140.89731445977063,-0.0941651638850373,8.045824,2.3988624256,3.5284612000000006,2.63002676695,-0.0153573590821363,-37035.01375266183,-1.0,,2.7444835704499995,9.285982,2.1406555811,7.179794,-0.0101337049623331,1.0002954597706264,1.565443367554508,4
001-CA2,5NXP,-10.9,-44.06,-57.76,11.56,0.0,2.14,-8.607972063709,-8.607921489489,-0.0317357782176242,-164.3736129858338,-165.47511625364425,1.1015032678104433,10.351691,3.08635667165,4.128414800000001,3.07721718155,-0.0497088658942664,-40671.60112391105,-1.0,1.7508620229999998,3.5368824903,8.97035,2.49691948835,8.374709,-0.041253148240078,2.351201253644234,1.609327836335865,6
001-CA2,5NXV,-11.5,-41.73,-54.72,10.91,0.0,2.09,-8.133787634924,-8.133818462625,0.0193446598267687,-164.9342762639122,-165.08156164065758,0.1472853767453728,7.671135,2.28714890025,2.1233304,1.5826773969,-10.46197845827469,-46638.0954795427,-1.0,1.5385362894,1.2100307434499995,6.627914,2.0455731609,6.860886,-2.677078245069935,3.506686640657591,0.7066445045247463,6
001-CA2,5NXW,-9.9,-40.39,-55.12,12.93,0.0,1.8,-7.236664717936,-7.226539638338,-6.353578573461186,-130.2416784112907,-126.70292892941424,-3.538749481876465,8.041271,2.3975049486499995,1.7388428000000002,1.29608995205,-11.71553389731914,-39786.331736660446,-1.0,0.73641350545,-0.4731121719,8.144041,1.2830694433999996,4.303436,-4.525364054966737,-1.6590750705857715,2.1561415325283946,6
001-CA2,5NY1,-8.8,-32.47,-50.92,15.52,0.0,2.93,-9.908349959233,-9.907880446299,-0.294623591701402,-197.3250626821067,-198.3185473505756,0.9934846684689091,14.362599,4.282208891849999,4.5026104,3.3561332268999995,-1.4845677719820811,-47749.27460848308,-1.0,,4.190038502699999,12.28862,3.1104307933999995,10.432436,-0.8432147543945411,1.7863173505756151,5.675401132379761,5
001-CA2,5NY3,-10.2,-43.08,-56.06,10.98,0.0,2.0,-8.564945616345,-8.561576837943,-2.113938766259925,-189.39039848540784,-189.11322824884135,-0.2771702365664623,11.679155,3.4821400632499997,2.1050152,1.5690257047,-10.464164480620925,-43236.56873740696,-1.0,0.56083535565,1.5072883805,4.548202,2.3692453972,7.946488,-6.951143185968272,2.366837248841392,1.2175317472083975,7
001-CA2,5NY6,-10.7,-41.53,-61.93,18.13,0.0,2.28,-8.332578551023,-8.326034476312,-4.106465777824859,-231.48203762430416,-224.89178113624484,-6.590256488059339,8.572148,2.5557859262,1.8462356,1.37613786035,-11.51731933067332,-43627.76115638627,-1.0,0.0379518116499999,0.4857361410499999,6.473239,0.6710479938999999,2.250706,-10.661105182663382,-10.74306686375516,4.864340502751929,5
001-CA2,5NYA,-8.7,-40.08,-50.94,9.84,0.0,1.01,-4.295685945515,-4.295575452425,-0.0693354084129472,-142.4728860445611,-142.34429121148816,-0.1285948330729525,1.377425,0.4106792637499999,1.136472,0.847097817,-0.0334321647142772,-19136.78163212077,-1.0,0.63783438205,1.2302101317499998,2.41442,0.6944825839,2.329306,-0.0771393431425854,0.7774812114881513,0.897158458443414,1
002-HIV-PR,1HSG,-13.62,-43.06,-58.0,11.94,0.0,3.0,-15.407808442809,-15.380750104166,-16.97935102353036,-67.18418721931482,-52.9731664670744,-14.211020752240422,6.73398,2.007736137,,,,,1.0,,,,,,,,5.15541414872483,14
