Target,Ligand,NumRotors,NumMethyl,Ring,SG,HBond,PiStack,ConfEntropy
001-CA2,5NXG,5,0,0.0,1,0.0,3.0,8.514939
001-CA2,5NXI,4,0,0.0,0,0.0,0.0,10.375998
001-CA2,5NXO,4,0,0.0,0,0.0,0.0,8.821153
001-CA2,5NXP,6,1,0.0,1,3.0,0.0,10.321037
001-CA2,5NXV,6,1,0.0,1,3.0,4.0,5.308326
001-CA2,5NXW,6,0,0.0,1,0.0,0.0,4.347107
001-CA2,5NY1,5,3,0.0,1,0.0,4.0,11.256526
001-CA2,5NY3,7,0,0.0,2,0.0,0.0,5.262538
001-CA2,5NY6,5,1,0.0,1,0.0,4.0,4.615589
001-CA2,5NYA,1,0,0.0,0,0.0,0.0,2.84118
002-HIV-PR,1HSG,14,3,4.0,2,7.666666666666666,5.0,
002-HIV-PR,1HXW,22,5,0.0,5,10.0,0.0,
002-HIV-PR,1IZH,23,3,0.0,6,14.783333333333333,10.0,
002-HIV-PR,1T3R,13,2,2.0,2,3.0,0.0,
002-HIV-PR,2Q54,18,4,1.0,5,10.0,9.0,
002-HIV-PR,2Q55,16,2,3.0,6,8.0,9.0,
002-HIV-PR,2Q5K,17,4,2.0,4,8.0,12.0,
002-HIV-PR,3EKX,12,4,4.0,2,4.0,0.0,
002-HIV-PR,3EL1,22,8,0.0,6,11.5,0.0,
002-HIV-PR,3NU3,13,2,2.0,2,3.0,0.0,
002-HIV-PR,3OXC,16,3,4.0,4,8.666666666666668,8.0,
002-HIV-PR,5HVP,25,10,0.0,6,18.75,0.0,
002-HIV-PR,model13a,17,3,1.0,5,10.0,9.0,
002-HIV-PR,model13c,17,3,1.0,5,10.0,9.0,
002-HIV-PR,model13d,18,3,1.0,5,10.0,11.0,
002-HIV-PR,model16a,16,2,1.0,4,7.0,16.0,
002-HIV-PR,model16e,17,3,1.0,4,7.0,16.0,
002-HIV-PR,model16f,17,3,1.0,4,7.0,16.0,
002-HIV-PR,model22a,16,2,1.0,4,7.0,16.0,
002-HIV-PR,model22d,17,2,1.0,4,7.0,16.0,
002-HIV-PR,model23a,15,0,2.0,4,7.0,15.0,
002-HIV-PR,model25d,17,0,1.0,5,7.0,9.0,
003-CK2,1F0Q,0,1,1.0,0,0.0,0.0,1.369872
003-CK2,1J91,0,0,0.0,0,0.0,0.0,0.0
003-CK2,1M2P,1,0,1.0,0,0.0,0.0,2.769314
003-CK2,1M2Q,1,0,0.0,0,0.0,0.0,0.001741
003-CK2,1M2R,0,0,1.0,0,0.0,0.0,0.0
003-CK2,1ZOE,1,2,0.0,0,0.0,0.0,0.443952
003-CK2,1ZOG,1,1,0.0,0,0.0,0.0,0.075635
003-CK2,1ZOH,0,1,1.0,0,0.0,0.0,0.0
003-CK2,2OXD,0,0,0.0,0,0.0,0.0,0.0
003-CK2,2OXX,0,0,0.0,0,0.0,0.0,0.0
003-CK2,2OXY,0,0,0.0,0,0.0,0.0,0.0
003-CK2,3KXG,0,0,0.0,0,0.0,0.0,0.0
003-CK2,3KXH,3,2,0.0,1,0.0,0.0,
003-CK2,3KXM,4,2,0.0,1,0.0,0.0,
003-CK2,3KXN,0,0,0.0,0,0.0,0.0,0.0
003-CK2,3PVG,2,0,0.0,1,0.0,0.0,
004-AR,1US0,7,0,0.0,2,0.0,0.0,6.833021
004-AR,2IKG,6,0,0.0,1,0.0,0.0,6.740989
004-AR,2IKH,5,0,0.0,1,0.0,0.0,2.951452
004-AR,2IKI,7,0,0.0,2,0.0,4.0,5.107798
004-AR,2IKJ,8,0,0.0,2,0.0,4.0,6.139021
004-AR,4LAU,7,0,0.0,2,0.0,4.0,6.915575
004-AR,4LAZ,7,0,0.0,2,0.0,4.0,6.248184
004-AR,4LB3,7,0,0.0,2,0.0,4.0,5.988433
004-AR,4LB4,7,0,0.0,2,0.0,4.0,3.585315
004-AR,4LBR,7,0,0.0,2,0.0,4.0,3.945869
004-AR,4LBS,7,0,0.0,2,0.0,4.0,4.225375
004-AR,4QXI,7,0,0.0,2,3.0,4.0,9.218562
004-AR,4XZH,5,0,0.0,1,0.0,0.0,3.279272
004-AR,4XZI,5,1,0.0,1,0.0,0.0,2.908741
005-Cath-D,6QBG,3,2,15.0,3,0.0,0.0,
005-Cath-D,6QBH,3,2,15.0,4,0.0,0.0,
005-Cath-D,6QCB,3,2,15.0,3,0.0,0.0,10.086319
005-Cath-D,model08,2,1,15.0,3,0.0,0.0,10.652052
005-Cath-D,model22,3,2,15.0,3,0.0,0.0,14.700679
005-Cath-D,model24,3,2,15.0,3,0.0,0.0,13.456599
005-Cath-D,model25,4,0,15.0,3,0.0,0.0,
005-Cath-D,model31,3,1,15.0,3,1.0,0.0,9.655549
005-Cath-D,model35,3,2,15.0,4,0.0,0.0,11.890233
005-Cath-D,model36,3,2,15.0,3,0.0,0.0,
006-BACE1,5QCO,7,3,8.0,1,3.0,0.0,
006-BACE1,5QCP,9,3,8.0,1,3.0,0.0,
006-BACE1,5QCR,18,4,0.0,2,9.0,5.0,
006-BACE1,5QCT,11,5,9.0,3,5.0,0.0,
006-BACE1,5QCU,8,4,8.0,2,5.0,0.0,
006-BACE1,5QCV,6,4,10.0,2,3.0,0.0,
006-BACE1,5QCX,7,4,9.0,2,3.0,0.0,
006-BACE1,5QCY,9,4,9.0,2,3.0,0.0,
006-BACE1,5QCZ,6,2,11.0,1,1.5,0.0,
006-BACE1,5QD0,7,4,12.0,2,3.6666666666666665,0.0,
006-BACE1,5QD1,8,4,10.0,1,3.0,0.0,
006-BACE1,5QD2,8,3,8.0,1,3.0,0.0,
006-BACE1,5QD3,8,4,10.0,1,3.0,0.0,
006-BACE1,5QD5,6,3,10.0,1,3.0,0.0,
006-BACE1,5QD9,6,6,12.0,2,3.0,0.0,
006-BACE1,5QDA,7,3,7.0,1,3.0,0.0,
007-JAK1,4E4L,2,2,3.0,0,0.0,0.0,4.655872
007-JAK1,4E4N,5,3,2.0,2,0.0,0.0,11.213549
007-JAK1,4E5W,4,2,5.0,1,0.0,0.0,7.652636
007-JAK1,4EHZ,1,1,3.0,0,0.0,0.0,1.222471
007-JAK1,4EI4,1,1,3.0,0,0.0,0.0,3.356388
007-JAK1,4FK6,4,1,4.0,0,0.0,0.0,5.081077
007-JAK1,4I5C,3,0,3.0,1,0.0,0.0,2.385296
007-JAK1,4IVB,2,1,3.0,0,1.0,0.0,3.921366
007-JAK1,4IVC,3,1,3.0,0,1.0,0.0,5.81936
007-JAK1,4IVD,4,1,3.0,0,1.0,0.0,7.799407
007-JAK1,4K6Z,3,0,2.0,0,0.0,0.0,3.943789
007-JAK1,4K77,2,0,3.0,0,0.0,0.0,1.901845
008-Trypsin,1K1I,9,0,3.0,2,5.0,0.0,9.010509
008-Trypsin,1K1J,10,1,3.0,2,5.0,0.0,11.031774
008-Trypsin,1K1L,8,0,3.0,1,5.0,0.0,7.940014
008-Trypsin,1K1M,9,1,3.0,2,5.0,0.0,10.006517
008-Trypsin,1K1N,14,4,3.0,3,9.333333333333332,0.0,
008-Trypsin,2ZHD,9,0,6.0,2,6.0,0.0,
008-Trypsin,2ZQ2,9,0,7.0,2,6.0,0.0,
008-Trypsin,3LJJ,9,0,4.0,2,6.0,0.0,12.600207
008-Trypsin,3LJO,9,0,5.0,2,6.0,0.0,13.103631
008-Trypsin,5MNG,1,0,0.0,0,0.0,0.0,1.377425
