Target,Count,R_Original,R_New,R2_Original,R2_New,Improvement
001-CA2,9,0.7889342302589125,0.7882327328380905,0.6224172196742228,0.6213108411174045,-0.0011063785568182771
002-HIV-PR,21,0.8561015745512013,0.8560765329156401,0.732909905949046,0.732867030208863,-4.287574018302376e-05
003-CK2,16,0.8961413504562182,0.8961888095492525,0.8030693199974945,0.8031543823613064,8.506236381189414e-05
004-AR,14,0.8375993432617737,0.8373580973525263,0.7015726598325546,0.7011685832018429,-0.00040407663071162503
005-Cath-D,10,0.8117883925027166,0.8117956141627787,0.6590003942021447,0.659012119173923,1.1724971778259707e-05
006-BACE1-D3R,16,0.7947057247333208,0.795123064128731,0.6315571889239127,0.6322206871094621,0.0006634981855494493
007-JAK1,12,0.7493220073869534,0.7493944456792003,0.5614834707544135,0.5615920352148359,0.00010856446042240009
008-Trypsin,15,0.863918144882923,0.8638793248264464,0.7463545610579511,0.7462874878625968,-6.707319535426137e-05
009-CDK2,31,0.7813500144304709,0.7812557768994969,0.6105078450504972,0.6103605889388365,-0.0001472561116606652
010-MMP12,18,0.8616925825919323,0.8617659785458867,0.742514106893954,0.7426406017791496,0.00012649488519556051
